ID,duration,wav,spk_id,wrd
CF02_B2_D1_M7,1.673375,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_D1_M7.wav,CF02,ONE
CF02_B2_CW74_M4,1.7870625,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_CW74_M4.wav,CF02,NUMBER
CF02_B2_CW40_M5,1.84675,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_CW40_M5.wav,CF02,THERE
CF02_B2_C8_M6,1.839125,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_C8_M6.wav,CF02,CONTROL
CF02_B2_UW86_M2,1.721875,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_UW86_M2.wav,CF02,LAMP
CF02_B2_UW86_M7,1.721875,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_UW86_M7.wav,CF02,LAMP
CF02_B2_CW4_M6,1.529125,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_CW4_M6.wav,CF02,A
CF02_B2_CW22_M6,1.7995,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_CW22_M6.wav,CF02,BE
CF02_B2_CW14_M5,1.7844375,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_CW14_M5.wav,CF02,ON
CF02_B2_UW99_M2,1.5590625,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_UW99_M2.wav,CF02,FINGER
CF02_B2_C14_M2,1.6590625,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_C14_M2.wav,CF02,CUT
CF02_B2_C10_M2,1.74425,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_C10_M2.wav,CF02,LINE
CF02_B2_C19_M5,1.3419375,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_C19_M5.wav,CF02,RIGHT
CF02_B2_LO_M6,1.7813125,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_LO_M6.wav,CF02,OSCAR
CF02_B2_CW27_M3,1.6150625,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_CW27_M3.wav,CF02,HAD
CF02_B2_UW87_M2,1.74725,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_UW87_M2.wav,CF02,CAR
CF02_B2_UW75_M2,2.1899375,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_UW75_M2.wav,CF02,DIGEST
CF02_B2_UW45_M3,2.4625,/home/zzho680/Speech_Data/UASpeech/audio/control/CF02/CF02_B2_UW45_M3.wav,CF02,BELEAGUERING
